code,event_type_cd,description
1.AA,I,SEC. 1(A) CLAIM ADDED
1.AD,I,SEC. 1(A) CLAIM DELETED
1.BA,I,Sec. 1(B) CLAIM ADDED
1.BD,I,Sec. 1(B) CLAIM DELETED
12AB,O,REQUEST FOR REPUB UNDER SECT 12(C) ABANDONED
12AF,I,SECTION 12(C) AFFIDAVIT FILED
15AB,O,AFFIDAVIT UNDER SECT 15 ABANDONED
15AF,I,REGISTERED - SEC. 15 AFFIDAVIT FILED
15AK,O,REGISTERED - SEC. 15 ACKNOWLEDGED
15IA,O,INITIAL REVIEW ACTION MAILED - SECTION 15
44DA,I,SEC. 44(D) CLAIM ADDED
44DD,I,SEC. 44(D) CLAIM DELETED
44EA,I,SEC. 44(E) CLAIM ADDED
44ED,I,SEC. 44(E) CLAIM DELETED
44ED,O,44(e) PETITION - DENIED
44EG,O,44(e) PETITION - GRANTED
44EM,',44(e) PETITION - DISMISSED
44EM,I,44(e) PETITION - DISMISSED
44EP,I,44(e) PETITION - RECEIVED
7.PR,O,REGISTERED - PARTIAL SEC. 7 ACCEPTED
71.P,O,REGISTERED - PARTIAL SEC 71 ACCEPTED
715F,I,REGISTERED - SEC. 71 & SEC. 15 FILED
71AF,I,REGISTERED-SEC.71 FILED
71AG,O,REGISTERED-SEC.71 ACCEPTED
8.AF,I,REGISTERED - SEC. 8 (6-YR) FILED
8.OK,O,REGISTERED - SEC. 8 (6-YR) ACCEPTED
8.PR,O,REGISTERED - PARTIAL SEC. 8 (6-YR) ACCEPTED
806I,O,INITIAL REVIEW ACTION MAILED - SECT 8 (6 YR)
810I,O,INITIAL REVIEW ACTION MAILED - SECT 8 (10 YR)
815F,I,REGISTERED - SEC. 8 (6-YR) & SEC. 15 FILED
815I,O,INITIAL REVIEW ACTION MAILED - SECT 8 AND 15
89AF,I,REGISTERED - COMBINED SECTION 8 (10-YR) & SEC. 9 FILED
89AG,O,REGISTERED - SEC. 8 (10-YR) ACCEPTED/SEC. 9 GRANTED
89IA,O,INITIAL REVIEW ACTION MAILED - SECT 8 & 9
8AFT,I,REGISTERED - SEC. 8 (10-YR) FILED/CHECK RECORD FOR SEC. 9
8OKT,O,REGISTERED - SEC. 8 (10-YR) ACCEPTED/CHECK RECORD FOR SEC. 9
8PRT,O,REGISTERED - PARTIAL SEC. 8 (10-YR) ACCEPTED
9.AF,I,REGISTERED - SEC. 9 FILED/CHECK RECORD FOR SEC. 8
9G8P,O,REGISTERED - SEC. 9 GRANTED/CHECK RECORD FOR SEC. 8
9INF,O,INITIAL REVIEW ACTION MAILED - SECTION 9
A7OK,O,AMENDMENT UNDER SECTION 7 - PROCESSED
AAUA,E,NOTICE OF ACCEPTANCE OF AMENDMENT TO ALLEGE USE E-MAILED
AAUA,O,NOTICE OF ACCEPTANCE OF AMENDMENT TO ALLEGE USE MAILED
AAUD,F,AMENDMENT OF ALLEGED USE DISAPPROVED
AAUW,S,ALLEGED AMENDMENT TO USE WITHDRAWN
ABN0,O,ABANDONMENT - INCOMPLETE RESPONSE
ABN1,*,ABANDONMENT - EXPRESS MAILED
ABN1,F,ABANDONMENT - EXPRESS MAILED
ABN1,O,ABANDONMENT - EXPRESS MAILED
ABN1,S,ABANDONMENT - EXPRESS MAILED
ABN2,O,ABANDONMENT - FAILURE TO RESPOND OR LATE RESPONSE
ABN3,O,ABANDONMENT - AFTER EX PARTE APPEAL
ABN4,O,ABANDONMENT - AFTER INTER PARTES DECISION
ABN5,O,ABANDONMENT - AFTER PUBLICATION
ABN6,S,ABANDONMENT - NO USE STATEMENT FILED
ABN7,S,ABANDONMENT - DEFECTIVE USE STATEMENT
ABN8,S,ABANDONMENT - AFTER PETITION DECISION(IU CASE)
ABN9,O,ABANDONMENT - DEFECTIVE DIVIDED APPLICATION
ABND,Z,ABANDONMENT DELETED BY TTAB
ACEC,I,AMENDMENT FROM APPLICANT ENTERED
ACFC,P,APPEAL TO CAFC
ADBS,I,1(B) BASIS DELETED; NEW BASIS REQUESTED
ADCH,M,CHANGE OF NAME/ADDRESS REC'D FROM IB
AITU,A,CASE ASSIGNED TO INTENT TO USE PARALEGAL
ALIE,A,ASSIGNED TO LIE
AMD7,I,SEC 7 REQUEST FILED
AMPB,I,AMENDMENT/PETITION AFTER APPROVAL FOR PUB ENTERED
AMPR,I,AMENDMENT ENTERED BY POST REGISTRATION
AMPX,I,APPLICANT AMENDMENT PRIOR TO EXAMINATION
AMPX,O,PRELIMINARY/VOLUNTARY AMENDMENT - ENTERED
AORN,I,ASSIGNMENT OF OWNERSHIP REVIEWED NOT UPDATED
AOUM,I,ASSIGNMENT OF OWNERSHIP UPDATED MANUALLY
APET,A,ASSIGNED TO PETITION STAFF
APRC,O,ADDITIONAL PUB REVIEW COMPLETED
APRE,A,CASE ASSIGNED TO POST REGISTRATION PARALEGAL
ARAA,I,ATTORNEY/DOM.REP.REVOKED AND/OR APPOINTED
ASCK,I,ASSIGNMENT OF OWNERSHIP NOT UPDATED AUTOMATICALLY
ASDF,I,ASSIGNMENT CHANGE WITHDRAWN
ASGN,I,AUTOMATIC UPDATE OF ASSIGNMENT OF OWNERSHIP
ATAP,P,AMENDMENT APPROVED BY ATTORNEY
ATDN,P,AMENDMENT DENIED BY ATTORNEY
ATRQ,I,ATTORNEY REVIEW/DECISION ON AMENDMENT REQUIRED
ATRV,O,ATTORNEY REVIEW COMPLETED
AUPC,I,AMENDMENT TO USE PROCESSING COMPLETE
BARR,T,REEXAM EX PARTE APPEAL RECD AT TTAB
BARX,T,EXPUNGEMENT EX PARTE APPEAL RECEIVED AT TTAB
