code,description,live_dead_indicator
000,UNKNOWN,Indifferent
400,IR CANCELLED; APPLICATION PENDING TRANSFORMATION,Dead/Cancelled
401,IR CANCELLED - NO TRANSFORMATION FILED,Dead/Cancelled
402,IR CANCELLED; US APPLICATION ABANDONED,Dead/Abandoned
403,IR CANCELLED; REGISTRATION PENDING TRANSFORMATION,Dead/Cancelled
404,IR CANCELLED; US REGISTRATION CANCELLED,Dead/Cancelled
405,IR CANCELED; APPLICATION TRANSFRMED,Dead/Cancelled
406,IR CANCELLED; REGISTRATION TRANSFORMED,Dead/Cancelled
410,"IR RESTRICTED; US APP. ABANDONED, PENDING TRANSFORMATION",Live/Pending
411,IR RESTRICTED; US APP. ABANDONED; NO TRANSFORMATION FILED,Dead/Abandoned
412,IR RESTRICTED; US APPLICATION ABANDONED,Dead/Abandoned
413,IR RESTRICTED; US REG. CANCELLED PEND TRANSFORMATION,Live/Pending
414,IR RESTRICTED; US REG. CANCELLED; NO TRANSFORMATION FILED,Dead/Cancelled
415,IR RESTRICTED; US REGISTRATION CANCELLED,Dead/Cancelled
416,IR RESTRICTED; US APP ABANDONED; US APP TRANSFORMED,Dead/Abandoned
417,IR RESTRICTED; US REG CANCELLED; US REG TRANSFORMED,Dead/Cancelled
600,ABANDONED - INCOMPLETE RESPONSE,Dead/Abandoned
601,ABANDONED - EXPRESS,Dead/Abandoned
602,ABANDONED-FAILURE TO RESPOND OR LATE RESPONSE,Dead/Abandoned
603,ABANDONED - AFTER EX PARTE APPEAL,Dead/Abandoned
604,ABANDONED - AFTER INTER-PARTES DECISION,Dead/Abandoned
605,ABANDONED EXPRESS AFTER PUB,Dead/Abandoned
606,ABANDONED - NO STATEMENT OF USE FILED,Dead/Abandoned
607,ABANDONED - DEFECTIVE STATEMENT OF USE,Dead/Abandoned
608,ABANDONED - AFTER PETITION DECISION,Dead/Abandoned
609,ABANDONED - DEFECTIVE DIVIDED APPLICATION,Dead/Abandoned
610,TERMINATED AFTER SANCTIONS,Dead
612,PETITION TO REVIVE-RECEIVED,Dead/Abandoned
614,ABANDONED PETITION TO REVIVE-DENIED,Dead/Abandoned
616,REVIVED - AWAITING FURTHER ACTION,Live/Pending
618,ABANDONED FILE - BACKFILE,Dead/Abandoned
620,BACKFILE APPLICATION ADDED TO DATA BASE - STATUS NOT RECORDED,Live/Pending
622,MISASSIGNED SERIAL NUMBER,Indifferent
624,REGISTERED - BACKFILE,Live/Registered
625,REGISTRATION ADDED TO THE DATA BASE-STATUS UNCLEAR,Live/Registered
626,REGISTERED - BACKFILE CANCELLED OR EXPIRED,Dead/Cancelled
630,NEW APPLICATION - RECORD INITIALIZED NOT ASSIGNED TO EXAMINER,Live/Pending
631,NEW APPLICATION - DIVIDED - INITIAL PROCESSING,Live/Pending
632,INFORMAL APPLICATION,Dead
638,NEW APPLICATION - ASSIGNED TO EXAMINER,Live/Pending
640,NON-FINAL ACTION COUNTED - NOT MAILED,Live/Pending
641,NON-FINAL ACTION - MAILED,Live/Pending
642,INVENTORIED AS REJECTED,Live/Pending
643,PREVIOUS ACTION/ALLOWANCE COUNT WITHDRAWN,Live/Pending
644,FINAL REFUSAL COUNTED - NOT MAILED,Live/Pending
645,FINAL REFUSAL - MAILED,Live/Pending
646,EXAMINERS AMENDMENT COUNTED - NOT MAILED,Live/Pending
647,EXAMINERS AMENDMENT - MAILED,Live/Pending
648,ACTION CONTINUING FINAL COUNTED - NOT MAILED,Live/Pending
649,ACTION CONTINUING FINAL - MAILED,Live/Pending
650,SUSPENSION INQUIRY COUNTED - NOT MAILED,Live/Pending
651,SUSPENSION INQUIRY - MAILED,Live/Pending
652,SUSPENSION LETTER COUNTED - NOT MAILED,Live/Pending
653,SUSPENSION LETTER - MAILED,Live/Pending
654,REPORT COMPLETED SUSPENSION CHECK - CASE STILL SUSPENDED,Live/Pending
655,EXAMINER'S AMENDMENT/PRIORITY ACTION COUNTED NOT MAILED,Live/Pending
656,EXAMINER'S AMENDMENT/PRIORITY ACTION MAILED,Live/Pending
657,PRIORITY ACTION COUNTED NOT MAILED,Live/Pending
658,PRIORITY ACTION MAILED,Live/Pending
659,SUBSEQUENT FINAL REFUSAL COUNTED NOT MAILED,Live/Pending
660,SUBSEQUENT FINAL MAILED,Live/Pending
661,RESPONSE AFTER NON-FINAL ACTION - ENTERED,Live/Pending
663,RESPONSE AFTER FINAL REJECTION - ENTERED,Live/Pending
664,INVENTORIED AS AMENDED,Live/Pending
665,NOTICE OF UNRESPONSIVE AMENDMENT - COUNTED,Live/Pending
666,NOTICE OF UNRESPONSIVE AMENDMENT - MAILED,Live/Pending
667,REFUSAL WITHDRAWL LETTER - COUNTED,Live/Pending
668,REFUSAL WITHDRAWL LETTER - MAILED,Live/Pending
672,REINSTATED - AWAITING FURTHER ACTION,Live/Pending
680,APPROVED FOR PUBLICATION,Live/Pending
681,PUBLICATION/ISSUE REVIEW COMPLETE,Live/Pending
682,ADDITIONAL REVIEW COMPLETED RETURNED TO PUB CYCLE,Live/Pending
686,PUBLISHED FOR OPPOSITION,Live/Pending
688,NOTICE OF ALLOWANCE - ISSUED,Live/Pending
689,NOTICE OF ALLOWANCE - WITHDRAWN,Live/Pending
